TestName,TestType,TestStage,TestTime,TestHumidity,DayTemperature,NightTemperature,TestLight,Nitrogen,Phosphorus,Potassium
Potato,Loamy,Sprout Development,20,73,21,12,10,130,134,230
Potato,Loamy,Sprout Development,18,73,22,14,8,121,146,223
Potato,Loamy,Sprout Development,18,72,24,12,10,75,150,138
Potato,Loamy,Sprout Development,15,72,22,14,10,111,125,162
Potato,Loamy,Sprout Development,20,77,21,13,10,54,141,299
Potato,Loamy,Sprout Development,15,75,24,17,9,86,143,279
Potato,Loamy,Sprout Development,18,76,24,12,10,54,158,193
Potato,Loamy,Sprout Development,18,70,26,14,9,121,138,226
Potato,Loamy,Sprout Development,19,70,21,12,9,108,136,168
Potato,Loamy,Sprout Development,17,74,26,18,9,102,132,194
Potato,Loamy,Sprout Development,16,73,23,18,10,63,114,234
Potato,Loamy,Sprout Development,20,76,26,16,8,110,135,288
Potato,Loamy,Sprout Development,20,77,27,13,10,78,115,219
Potato,Loamy,Sprout Development,15,72,21,12,9,104,146,237
Potato,Loamy,Sprout Development,17,72,20,16,8,85,128,195
Potato,Loamy,Sprout Development,18,74,18,15,10,109,97,215
Potato,Loamy,Sprout Development,20,73,27,15,9,62,114,235
Potato,Loamy,Sprout Development,20,77,25,15,9,51,124,293
Potato,Loamy,Sprout Development,20,70,18,19,9,100,135,155
Potato,Loamy,Sprout Development,16,72,21,13,8,97,128,130
Potato,Loamy,Sprout Development,15,76,18,12,9,51,159,127
Potato,Loamy,Sprout Development,19,69,23,13,9,106,140,202
Potato,Loamy,Sprout Development,17,78,21,16,9,68,170,303
Potato,Loamy,Sprout Development,15,74,18,12,9,114,117,144
Potato,Loamy,Sprout Development,16,74,21,17,10,56,104,250
Potato,Loamy,Sprout Development,15,77,24,16,10,63,105,178
Potato,Loamy,Sprout Development,18,76,19,12,8,94,117,230
Potato,Loamy,Sprout Development,17,77,26,18,10,65,110,265
Potato,Loamy,Sprout Development,20,72,25,18,8,99,129,249
Potato,Loamy,Sprout Development,18,74,22,16,9,60,162,246
Potato,Loamy,Sprout Development,20,75,21,17,9,57,162,201
Potato,Loamy,Sprout Development,20,74,18,17,8,51,151,169
Potato,Loamy,Sprout Development,17,75,23,15,8,76,162,251
Potato,Loamy,Sprout Development,15,71,19,14,10,90,168,151
Potato,Loamy,Sprout Development,19,70,26,12,8,70,95,250
Potato,Loamy,Sprout Development,16,71,25,15,9,89,133,199
Potato,Loamy,Sprout Development,18,70,27,16,9,66,116,192
Potato,Loamy,Sprout Development,17,74,23,13,10,74,119,171
Potato,Loamy,Sprout Development,16,73,25,17,8,89,100,299
Potato,Loamy,Sprout Development,17,72,19,19,9,64,105,185
Potato,Loamy,Sprout Development,18,75,24,17,9,64,174,193
Potato,Loamy,Sprout Development,18,72,21,14,9,96,155,246
Potato,Loamy,Sprout Development,18,72,27,15,9,90,111,280
Potato,Loamy,Sprout Development,19,77,27,16,10,66,154,140
Potato,Loamy,Sprout Development,15,78,23,14,9,81,150,122
Potato,Loamy,Sprout Development,15,71,18,16,10,92,111,245
Potato,Loamy,Sprout Development,18,75,18,18,8,86,140,266
Potato,Loamy,Sprout Development,16,75,25,10,8,102,117,152
Potato,Loamy,Sprout Development,16,70,21,14,10,100,170,128
Potato,Loamy,Sprout Development,17,76,20,13,8,83,149,123
Potato,Loamy,Sprout Development,17,70,26,15,10,97,161,212
Potato,Loamy,Sprout Development,16,75,23,17,9,66,154,145
Potato,Loamy,Sprout Development,19,76,19,16,9,97,139,266
Potato,Loamy,Sprout Development,15,79,21,12,8,66,116,224
Potato,Loamy,Sprout Development,19,75,24,17,10,98,95,207
Potato,Loamy,Sprout Development,15,72,18,13,10,56,126,296
Potato,Loamy,Sprout Development,19,78,21,16,8,112,129,239
Potato,Loamy,Sprout Development,16,77,20,18,8,129,117,268
Potato,Loamy,Sprout Development,15,77,26,16,9,112,116,285
Potato,Loamy,Sprout Development,17,74,22,18,9,69,148,272
Potato,Loamy,Sprout Development,16,75,19,18,10,98,130,248
Potato,Loamy,Sprout Development,20,77,20,16,8,113,116,169
Potato,Loamy,Sprout Development,19,70,26,18,8,90,127,266
Potato,Loamy,Sprout Development,17,72,25,15,8,78,98,285
Potato,Loamy,Sprout Development,20,71,23,15,8,66,162,170
Potato,Loamy,Sprout Development,17,78,23,14,9,85,130,208
Potato,Loamy,Sprout Development,15,70,26,13,8,99,140,215
Potato,Loamy,Sprout Development,19,71,20,14,9,97,122,191
Potato,Loamy,Sprout Development,18,71,22,17,8,94,157,199
Potato,Loamy,Sprout Development,20,76,20,18,10,122,111,276
Potato,Loamy,Sprout Development,18,71,20,18,8,101,134,145
Potato,Loamy,Sprout Development,17,77,24,18,10,80,127,229
Potato,Loamy,Sprout Development,17,70,22,12,10,82,111,166
Potato,Loamy,Sprout Development,17,72,18,16,8,90,137,225
Potato,Loamy,Sprout Development,19,71,23,14,8,73,175,265
Potato,Loamy,Sprout Development,17,71,20,12,10,104,126,193
Potato,Loamy,Sprout Development,19,74,20,16,8,36,159,300
Potato,Loamy,Sprout Development,19,77,24,17,9,107,154,252
Potato,Loamy,Sprout Development,15,77,27,11,10,117,110,300
Potato,Loamy,Sprout Development,20,74,21,15,8,52,118,147
Potato,Loamy,Sprout Development,19,74,23,15,8,109,100,223
Potato,Loamy,Sprout Development,15,73,22,12,9,115,105,221
Potato,Loamy,Sprout Development,16,73,24,16,9,108,136,215
Potato,Loamy,Sprout Development,15,70,22,16,9,64,153,214
Potato,Loamy,Sprout Development,16,73,27,17,10,59,127,151
Potato,Loamy,Sprout Development,18,72,19,12,8,113,122,284
Potato,Loamy,Sprout Development,16,75,18,15,8,82,125,254
Potato,Loamy,Sprout Development,16,75,19,17,8,70,161,266
Potato,Loamy,Sprout Development,17,76,24,17,10,59,123,285
Potato,Loamy,Sprout Development,19,72,26,13,9,70,117,142
Potato,Loamy,Sprout Development,18,73,20,16,10,57,106,254
Potato,Loamy,Sprout Development,19,70,27,13,10,82,160,153
Potato,Loamy,Sprout Development,16,71,22,16,10,71,96,282
Potato,Loamy,Sprout Development,15,70,23,16,9,54,100,121
Potato,Loamy,Sprout Development,15,77,18,15,10,125,148,149
Potato,Loamy,Sprout Development,17,77,27,14,8,51,165,142
Potato,Loamy,Sprout Development,16,71,26,13,9,110,169,136
Potato,Loamy,Sprout Development,16,71,22,16,9,73,131,217
Potato,Loamy,Sprout Development,20,74,26,17,8,60,107,303
Potato,Loamy,Sprout Development,16,71,25,18,8,81,144,279
Potato,Loamy,Sprout Development,20,72,19,16,8,106,130,132
Potato,Loamy,Sprout Development,19,77,19,15,9,111,143,291
Potato,Loamy,Sprout Development,17,72,21,14,8,125,153,300
Potato,Loamy,Sprout Development,16,75,24,14,10,110,153,234
Potato,Loamy,Sprout Development,17,73,23,18,10,76,115,290
Potato,Loamy,Sprout Development,19,74,26,13,10,91,128,170
Potato,Loamy,Sprout Development,16,75,22,16,10,54,144,258
Potato,Loamy,Sprout Development,16,70,20,13,10,123,105,254
Potato,Loamy,Sprout Development,20,70,26,17,8,94,155,282
Potato,Loamy,Sprout Development,19,72,22,14,10,103,169,201
Potato,Loamy,Sprout Development,15,75,26,12,8,116,140,142
Potato,Loamy,Sprout Development,18,76,21,17,10,113,161,238
Potato,Loamy,Sprout Development,15,78,19,13,9,87,99,220
Potato,Loamy,Sprout Development,18,73,25,13,9,56,142,253
Potato,Loamy,Sprout Development,20,76,18,15,10,117,120,270
Potato,Loamy,Sprout Development,18,75,17,13,8,118,157,263
Potato,Loamy,Sprout Development,16,75,18,17,8,89,154,184
Potato,Loamy,Sprout Development,15,71,20,16,10,55,131,176
Potato,Loamy,Sprout Development,20,74,24,12,9,67,132,131
Potato,Loamy,Sprout Development,17,71,23,17,8,102,120,224
Potato,Loamy,Sprout Development,17,76,27,16,10,99,126,152
Potato,Loamy,Sprout Development,19,74,20,16,9,85,146,175
Potato,Loamy,Sprout Development,20,74,19,14,8,96,169,270
Potato,Loamy,Sprout Development,20,77,19,17,10,116,161,145
Potato,Loamy,Sprout Development,18,74,19,18,10,97,117,126
Potato,Loamy,Sprout Development,20,72,19,18,10,99,126,267
Potato,Loamy,Sprout Development,16,70,24,16,9,109,119,222
Potato,Loamy,Sprout Development,18,78,23,17,8,82,110,241
Potato,Loamy,Sprout Development,17,78,26,17,8,87,105,138
Potato,Loamy,Sprout Development,15,78,21,16,7,117,156,137
Potato,Loamy,Sprout Development,16,71,21,15,8,58,138,236
Potato,Loamy,Sprout Development,19,73,19,18,10,73,137,169
Potato,Loamy,Sprout Development,20,72,20,16,9,83,130,231
Potato,Loamy,Sprout Development,19,73,21,13,8,92,100,221
Potato,Loamy,Sprout Development,20,72,21,18,10,95,124,150
Potato,Loamy,Sprout Development,16,70,24,15,8,57,97,222
Potato,Loamy,Sprout Development,16,77,22,17,9,119,119,233
Potato,Loamy,Sprout Development,18,75,24,15,9,58,106,164
Potato,Loamy,Sprout Development,15,74,25,14,10,83,108,168
Potato,Loamy,Sprout Development,19,78,21,14,9,105,118,204
Potato,Loamy,Sprout Development,15,75,27,13,10,54,165,276
Potato,Loamy,Sprout Development,19,75,20,13,9,99,125,282
Potato,Loamy,Sprout Development,19,76,20,15,8,82,143,222
Potato,Loamy,Sprout Development,17,70,27,14,9,111,155,235
Potato,Loamy,Sprout Development,15,78,20,17,8,103,107,289
Potato,Loamy,Sprout Development,17,76,22,18,8,114,127,284
Potato,Loamy,Sprout Development,17,72,22,13,8,100,103,214
Potato,Loamy,Sprout Development,19,71,23,16,10,82,120,264
Potato,Loamy,Sprout Development,21,73,26,15,8,83,146,277
Potato,Loamy,Sprout Development,20,70,27,10,10,87,118,205
Potato,Loamy,Sprout Development,17,77,26,18,8,77,101,162
Potato,Loamy,Sprout Development,19,75,25,16,10,72,153,260
Potato,Loamy,Sprout Development,16,74,19,15,10,108,132,252
Potato,Loamy,Sprout Development,17,73,20,12,9,100,136,143
Potato,Loamy,Sprout Development,19,78,18,18,9,67,122,134
Potato,Loamy,Sprout Development,15,74,23,15,9,114,149,189
Potato,Loamy,Sprout Development,15,78,26,12,8,100,132,208
Potato,Loamy,Sprout Development,16,78,20,16,10,114,131,279
Potato,Loamy,Sprout Development,20,74,25,17,8,99,105,168
Potato,Loamy,Sprout Development,20,77,19,12,8,113,99,196
Potato,Loamy,Sprout Development,17,75,25,14,9,69,153,276
Potato,Loamy,Sprout Development,16,73,19,14,10,88,165,138
Potato,Loamy,Sprout Development,19,73,22,14,10,103,105,238
Potato,Loamy,Sprout Development,18,77,27,12,9,65,116,149
Potato,Loamy,Sprout Development,19,75,18,12,10,117,147,195
Potato,Loamy,Sprout Development,18,76,21,15,10,96,159,167
Potato,Loamy,Sprout Development,19,77,19,14,8,54,119,228
Potato,Loamy,Sprout Development,16,71,23,16,8,87,119,282
Potato,Loamy,Sprout Development,20,71,22,18,8,95,168,258
Potato,Loamy,Sprout Development,17,77,19,18,8,86,112,281
Potato,Loamy,Sprout Development,19,74,19,14,9,111,153,198
Potato,Loamy,Sprout Development,15,72,24,15,8,63,105,277
Potato,Loamy,Sprout Development,16,73,21,15,10,102,152,305
Potato,Loamy,Sprout Development,19,71,25,13,10,62,115,243
Potato,Loamy,Sprout Development,19,74,24,14,8,114,155,297
Potato,Loamy,Sprout Development,16,77,24,18,10,60,127,300
Potato,Loamy,Sprout Development,18,70,23,16,10,90,152,289
Potato,Loamy,Sprout Development,18,78,21,15,10,81,129,269
Potato,Loamy,Sprout Development,19,76,23,15,8,94,132,158
Potato,Loamy,Sprout Development,17,71,18,18,10,103,96,179
Potato,Loamy,Sprout Development,18,75,22,15,9,87,134,135
Potato,Loamy,Sprout Development,18,75,23,13,8,57,164,245
Potato,Loamy,Sprout Development,16,75,27,17,8,110,130,264
Potato,Loamy,Sprout Development,17,71,18,16,8,103,159,251
Potato,Loamy,Sprout Development,19,77,25,12,10,106,110,142
Potato,Loamy,Sprout Development,16,72,24,15,10,70,151,135
Potato,Loamy,Sprout Development,15,71,22,12,9,50,147,231
Potato,Loamy,Sprout Development,20,74,27,12,8,108,113,249
Potato,Loamy,Sprout Development,18,76,19,13,8,101,148,178
Potato,Loamy,Sprout Development,16,75,23,18,10,106,155,296
Potato,Loamy,Sprout Development,16,76,20,18,8,97,163,225
Potato,Loamy,Sprout Development,15,78,27,12,9,93,147,142
Potato,Loamy,Sprout Development,18,77,26,18,10,77,151,167
Potato,Loamy,Sprout Development,16,78,24,17,8,92,131,126
Potato,Loamy,Sprout Development,16,77,24,13,8,87,127,259
Potato,Loamy,Sprout Development,18,73,18,12,9,80,134,138
Potato,Loamy,Sprout Development,19,72,20,18,10,102,154,250
Potato,Loamy,Sprout Development,20,77,22,18,10,117,106,171
Potato,Loamy,Sprout Development,16,76,22,16,8,68,143,279
Potato,Loamy,Sprout Development,16,77,19,11,8,91,132,255
Potato,Loamy,Sprout Development,16,72,27,17,8,75,102,239
Potato,Loamy,Sprout Development,20,76,20,13,10,71,115,221
Potato,Loamy,Sprout Development,15,74,23,16,10,104,152,176
Potato,Loamy,Sprout Development,17,71,23,16,9,61,121,144
Potato,Loamy,Sprout Development,16,74,23,14,10,63,166,267
Potato,Loamy,Sprout Development,17,78,23,13,10,63,136,256
Potato,Loamy,Sprout Development,17,73,20,12,10,95,152,184
Potato,Loamy,Sprout Development,17,73,19,17,9,65,100,217
Potato,Loamy,Sprout Development,16,78,27,13,9,66,139,241
Potato,Loamy,Sprout Development,17,74,19,12,10,74,117,139
Potato,Loamy,Sprout Development,16,76,24,17,10,104,102,140
Potato,Loamy,Sprout Development,18,70,25,13,10,125,98,124
Potato,Loamy,Sprout Development,17,77,26,17,8,80,170,224
Potato,Loamy,Sprout Development,18,73,19,12,8,92,111,283
Potato,Loamy,Sprout Development,20,77,21,17,9,56,142,176
Potato,Loamy,Sprout Development,18,73,22,14,8,64,141,165
Potato,Loamy,Sprout Development,16,78,22,18,9,77,160,238
Potato,Loamy,Sprout Development,17,77,27,12,10,109,163,275
Potato,Loamy,Sprout Development,18,76,18,17,9,60,123,133
Potato,Loamy,Sprout Development,15,73,27,15,10,84,102,157
Potato,Loamy,Sprout Development,18,73,24,13,10,61,125,198
Potato,Loamy,Sprout Development,19,74,18,15,10,74,127,220
Potato,Loamy,Sprout Development,16,73,23,11,8,95,142,304
Potato,Loamy,Sprout Development,17,74,24,17,8,61,145,278
Potato,Loamy,Sprout Development,18,75,21,12,10,87,152,172
Potato,Loamy,Sprout Development,15,73,26,16,10,105,168,225
Potato,Loamy,Sprout Development,19,70,18,13,10,89,168,276
Potato,Loamy,Sprout Development,18,74,24,15,8,86,170,208
Potato,Loamy,Sprout Development,19,70,25,12,10,60,133,229
Potato,Loamy,Sprout Development,17,70,19,15,9,106,163,199
Potato,Loamy,Sprout Development,15,78,26,18,10,70,167,274
Potato,Loamy,Sprout Development,17,72,21,10,9,56,153,204
Potato,Loamy,Sprout Development,16,71,26,17,10,99,138,200
Potato,Loamy,Sprout Development,17,72,23,14,8,73,101,192
Potato,Loamy,Sprout Development,17,72,20,13,9,113,125,166
Potato,Loamy,Sprout Development,20,76,22,14,9,124,154,157
Potato,Loamy,Sprout Development,15,74,18,13,10,125,128,165
Potato,Loamy,Sprout Development,15,71,21,14,9,81,125,300
Potato,Loamy,Sprout Development,15,74,25,14,10,102,154,160
Potato,Loamy,Sprout Development,18,73,24,18,10,54,141,163
Potato,Loamy,Sprout Development,17,71,19,16,8,103,152,156
Potato,Loamy,Sprout Development,17,77,27,12,8,112,161,182
Potato,Loamy,Sprout Development,15,73,19,12,8,68,121,234
Potato,Loamy,Sprout Development,17,75,22,13,8,78,101,285
Potato,Loamy,Sprout Development,17,78,26,13,8,97,170,145
Potato,Loamy,Sprout Development,18,73,25,16,8,87,154,229
Potato,Loamy,Sprout Development,19,71,23,15,10,81,97,289
Potato,Loamy,Sprout Development,18,72,27,13,8,80,161,287
Potato,Loamy,Sprout Development,18,77,23,12,10,61,101,181
Potato,Loamy,Sprout Development,17,77,21,15,9,86,110,273
Potato,Loamy,Sprout Development,19,75,21,17,9,84,167,269
Potato,Loamy,Sprout Development,19,77,21,16,9,72,160,293
Potato,Loamy,Sprout Development,17,75,27,13,10,87,144,182
Potato,Loamy,Sprout Development,20,70,26,17,10,80,124,302
Potato,Loamy,Sprout Development,20,78,21,13,10,117,101,286
Potato,Loamy,Sprout Development,19,74,19,17,9,74,141,299
Potato,Loamy,Sprout Development,19,71,27,15,8,114,161,122
Potato,Loamy,Sprout Development,19,77,25,14,9,125,149,151
Potato,Loamy,Sprout Development,16,71,22,15,10,82,160,171
Potato,Loamy,Sprout Development,17,71,20,12,9,101,136,189
Potato,Loamy,Sprout Development,16,76,26,15,8,102,131,284
Potato,Loamy,Sprout Development,20,71,20,18,9,87,81,223
Potato,Loamy,Sprout Development,18,77,21,13,9,124,97,146
Potato,Loamy,Sprout Development,16,74,27,13,9,98,146,165
Potato,Loamy,Sprout Development,15,71,27,16,10,51,146,184
Potato,Loamy,Sprout Development,18,73,22,14,8,108,105,250
Potato,Loamy,Sprout Development,17,74,20,13,8,61,135,134
Potato,Loamy,Sprout Development,16,74,19,16,9,54,118,124
Potato,Loamy,Sprout Development,16,70,24,16,8,87,140,203
Potato,Loamy,Sprout Development,20,77,22,12,9,83,167,158
Potato,Loamy,Vegetative Growth,15,80,24,16,8,75,146,257
Potato,Loamy,Vegetative Growth,17,87,27,13,9,112,141,176
Potato,Loamy,Vegetative Growth,20,82,27,17,9,78,109,265
Potato,Loamy,Vegetative Growth,20,86,18,12,9,56,133,277
Potato,Loamy,Vegetative Growth,14,88,21,13,8,84,140,266
Potato,Loamy,Vegetative Growth,16,87,28,14,9,123,147,292
Potato,Loamy,Vegetative Growth,15,80,27,18,8,52,100,225
Potato,Loamy,Vegetative Growth,19,87,23,15,8,82,100,302
Potato,Loamy,Vegetative Growth,15,90,24,16,8,61,159,172
Potato,Loamy,Vegetative Growth,17,90,21,12,8,94,112,265
Potato,Loamy,Vegetative Growth,19,90,26,14,8,74,120,151
Potato,Loamy,Vegetative Growth,18,86,21,15,10,120,132,233
Potato,Loamy,Vegetative Growth,17,86,20,13,8,104,129,254
Potato,Loamy,Vegetative Growth,20,85,21,13,9,114,103,295
Potato,Loamy,Vegetative Growth,16,86,23,18,9,94,142,218
Potato,Loamy,Vegetative Growth,16,83,18,15,9,66,123,180
Potato,Loamy,Vegetative Growth,16,85,21,14,8,108,133,286
Potato,Loamy,Vegetative Growth,16,90,19,15,10,97,129,210
Potato,Loamy,Vegetative Growth,16,82,18,18,8,73,95,248
Potato,Loamy,Vegetative Growth,20,85,24,16,9,109,168,225
Potato,Loamy,Vegetative Growth,20,89,25,17,8,96,138,169
Potato,Loamy,Vegetative Growth,20,84,23,14,8,119,140,166
Potato,Loamy,Vegetative Growth,19,83,18,12,8,68,164,266
Potato,Loamy,Vegetative Growth,17,85,19,15,10,106,109,180
Potato,Loamy,Vegetative Growth,19,84,22,16,8,85,97,217
Potato,Loamy,Vegetative Growth,18,86,26,16,9,88,113,278
Potato,Loamy,Vegetative Growth,19,82,24,12,9,100,125,212
Potato,Loamy,Vegetative Growth,19,88,20,15,8,116,109,301
Potato,Loamy,Vegetative Growth,15,80,21,16,8,104,96,128
Potato,Loamy,Vegetative Growth,15,85,22,13,8,58,95,242
Potato,Loamy,Vegetative Growth,15,81,24,15,10,125,136,289
Potato,Loamy,Vegetative Growth,19,86,25,12,8,72,102,206
Potato,Loamy,Vegetative Growth,16,87,21,14,10,79,121,270
Potato,Loamy,Vegetative Growth,15,85,20,12,8,50,105,212
Potato,Loamy,Vegetative Growth,18,84,20,18,8,92,165,284
Potato,Loamy,Vegetative Growth,16,83,24,14,10,104,160,240
Potato,Loamy,Vegetative Growth,15,88,25,14,9,82,135,265
Potato,Loamy,Vegetative Growth,18,86,19,13,8,69,183,236
Potato,Loamy,Vegetative Growth,17,80,21,14,10,51,111,209
Potato,Loamy,Vegetative Growth,18,83,27,15,9,108,156,151
Potato,Loamy,Vegetative Growth,17,89,27,12,8,100,153,299
Potato,Loamy,Vegetative Growth,19,86,19,13,8,90,139,279
Potato,Loamy,Vegetative Growth,17,89,25,16,8,72,143,270
Potato,Loamy,Vegetative Growth,17,81,23,12,8,115,157,244
Potato,Loamy,Vegetative Growth,18,89,24,12,8,77,126,227
Potato,Loamy,Vegetative Growth,15,82,22,12,10,109,102,283
Potato,Loamy,Vegetative Growth,18,89,26,15,10,53,156,294
Potato,Loamy,Vegetative Growth,15,90,23,14,9,89,130,246
Potato,Loamy,Vegetative Growth,18,82,22,13,10,76,134,286
Potato,Loamy,Vegetative Growth,16,80,21,17,9,80,162,194
Potato,Loamy,Vegetative Growth,20,84,21,13,10,63,147,196
Potato,Loamy,Vegetative Growth,20,85,26,12,9,90,127,192
Potato,Loamy,Vegetative Growth,18,86,20,14,8,106,167,121
Potato,Loamy,Vegetative Growth,16,88,18,16,9,113,103,206
Potato,Loamy,Vegetative Growth,20,82,24,14,8,52,146,162
Potato,Loamy,Vegetative Growth,17,89,19,12,9,72,103,225
Potato,Loamy,Vegetative Growth,17,88,18,17,10,80,98,291
Potato,Loamy,Vegetative Growth,16,81,26,17,10,121,146,274
Potato,Loamy,Vegetative Growth,16,81,18,15,10,119,110,183
Potato,Loamy,Vegetative Growth,19,89,20,13,9,103,131,248
Potato,Loamy,Vegetative Growth,17,82,27,16,9,55,121,168
Potato,Loamy,Vegetative Growth,19,86,26,16,10,99,99,167
Potato,Loamy,Vegetative Growth,20,81,24,18,8,87,149,180
Potato,Loamy,Vegetative Growth,17,85,27,18,9,104,119,199
Potato,Loamy,Vegetative Growth,17,80,25,15,10,115,99,296
Potato,Loamy,Vegetative Growth,18,86,22,18,10,75,110,290
Potato,Loamy,Vegetative Growth,18,83,27,12,10,73,150,271
Potato,Loamy,Vegetative Growth,17,85,18,18,10,72,141,280
Potato,Loamy,Vegetative Growth,15,82,18,14,8,75,117,291
Potato,Loamy,Vegetative Growth,20,86,19,14,10,96,114,337
Potato,Loamy,Vegetative Growth,15,89,18,18,9,53,125,304
Potato,Loamy,Vegetative Growth,17,81,18,12,9,125,156,149
Potato,Loamy,Vegetative Growth,19,84,24,15,8,70,128,142
Potato,Loamy,Vegetative Growth,20,89,18,12,10,114,155,223
Potato,Loamy,Vegetative Growth,15,88,23,18,8,83,105,274
Potato,Loamy,Vegetative Growth,18,89,19,18,8,124,106,252
Potato,Loamy,Vegetative Growth,18,89,23,13,10,96,132,247
Potato,Loamy,Vegetative Growth,16,88,27,15,10,76,159,195
Potato,Loamy,Vegetative Growth,16,82,27,16,8,100,163,146
Potato,Loamy,Vegetative Growth,15,87,24,12,10,67,154,247
Potato,Loamy,Vegetative Growth,18,81,21,18,8,81,141,163
Potato,Loamy,Vegetative Growth,17,87,23,12,8,85,156,184
Potato,Loamy,Vegetative Growth,19,85,23,16,10,99,115,251
Potato,Loamy,Vegetative Growth,19,80,26,18,10,101,135,251
Potato,Loamy,Vegetative Growth,19,80,25,15,9,103,168,230
Potato,Loamy,Vegetative Growth,17,85,25,14,10,94,144,208
Potato,Loamy,Vegetative Growth,18,81,19,13,9,118,143,251
Potato,Loamy,Vegetative Growth,19,85,18,18,9,87,115,126
Potato,Loamy,Vegetative Growth,20,87,19,12,9,57,139,290
Potato,Loamy,Vegetative Growth,17,88,18,13,10,102,140,254
Potato,Loamy,Vegetative Growth,16,82,18,15,10,58,167,247
Potato,Loamy,Vegetative Growth,16,89,24,18,9,110,100,267
Potato,Loamy,Vegetative Growth,15,85,20,12,8,82,152,192
Potato,Loamy,Vegetative Growth,17,80,24,16,10,72,154,268
Potato,Loamy,Vegetative Growth,19,89,23,18,8,96,169,244
Potato,Loamy,Vegetative Growth,18,83,23,15,8,86,113,197
Potato,Loamy,Vegetative Growth,18,80,27,12,8,75,138,238
Potato,Loamy,Vegetative Growth,16,85,27,16,8,63,157,267
Potato,Loamy,Vegetative Growth,20,87,18,14,8,123,123,170
Potato,Loamy,Vegetative Growth,17,84,21,17,10,56,168,246
Potato,Loamy,Vegetative Growth,18,80,26,14,8,90,121,150
Potato,Loamy,Vegetative Growth,15,88,22,15,9,61,111,152
Potato,Loamy,Vegetative Growth,16,86,22,14,8,98,108,192
Potato,Loamy,Vegetative Growth,18,85,23,16,10,103,155,124
Potato,Loamy,Vegetative Growth,17,81,26,12,8,66,126,154
Potato,Loamy,Vegetative Growth,15,87,19,12,8,99,141,121
Potato,Loamy,Vegetative Growth,20,80,20,18,9,82,114,267
Potato,Loamy,Vegetative Growth,19,83,25,19,10,85,109,172
Potato,Loamy,Vegetative Growth,19,82,27,13,8,50,162,288
Potato,Loamy,Vegetative Growth,15,80,18,14,9,116,161,246
Potato,Loamy,Vegetative Growth,19,83,23,16,8,107,120,260
Potato,Loamy,Vegetative Growth,18,89,19,16,8,103,108,216
Potato,Loamy,Vegetative Growth,17,87,19,18,9,68,149,267
Potato,Loamy,Vegetative Growth,20,81,24,13,8,104,116,240
Potato,Loamy,Vegetative Growth,16,89,24,14,10,80,159,274
Potato,Loamy,Vegetative Growth,21,80,21,12,10,56,126,144
Potato,Loamy,Vegetative Growth,19,83,26,15,9,109,96,165
Potato,Loamy,Vegetative Growth,17,86,22,18,10,116,121,258
Potato,Loamy,Vegetative Growth,17,83,19,13,10,73,139,261
Potato,Loamy,Vegetative Growth,18,81,18,13,10,87,165,245
Potato,Loamy,Vegetative Growth,18,83,22,17,10,95,167,172
Potato,Loamy,Vegetative Growth,18,82,24,12,10,107,151,211
Potato,Loamy,Vegetative Growth,18,84,22,13,10,124,103,263
Potato,Loamy,Vegetative Growth,18,89,25,13,9,95,122,265
Potato,Loamy,Vegetative Growth,17,86,19,14,8,83,159,239
